location_id,latitude,longitude,date,month,season,hour,outdoor_temperature_C,wind_speed_mps,thermal_mass_MJ_m3K,insulation_r_value_m2K_W,glazing,GHI_W_m2,best_shelter_material,indoor_temperature_C
LAD-002,35.337,76.998,2025-01-02,1,Winter,12,-20.300,3.620,2.234,4.868,0.307,640.400,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,19.690
LAD-002,35.337,76.998,2025-01-02,1,Winter,13,-18.600,4.250,2.272,3.075,0.390,686.700,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,19.090
LAD-002,35.337,76.998,2025-01-02,1,Winter,14,-18.220,3.600,1.937,5.112,0.384,585.300,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,20.110
LAD-002,35.337,76.998,2025-01-02,1,Winter,15,-18.750,3.750,2.471,3.973,0.447,487.900,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,19.430
LAD-002,35.337,76.998,2025-01-02,1,Winter,16,-20.060,4.440,1.961,5.206,0.710,351.300,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,20.130
LAD-002,35.337,76.998,2025-01-02,1,Winter,17,-20.850,4.790,2.148,4.855,0.524,159.200,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,17.130
LAD-002,35.337,76.998,2025-01-02,1,Winter,18,-22.920,5.180,2.236,3.697,0.531,10.400,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,14.800
LAD-002,35.337,76.998,2025-01-02,1,Winter,19,-22.700,4.470,2.565,6.118,0.357,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,18.030
LAD-002,35.337,76.998,2025-01-02,1,Winter,20,-23.790,5.500,2.107,4.837,0.517,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,15.700
LAD-002,35.337,76.998,2025-01-02,1,Winter,21,-25.810,3.880,2.308,3.973,0.408,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,14.820
LAD-002,35.337,76.998,2025-01-02,1,Winter,22,-26.140,4.410,2.415,4.826,0.509,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,15.950
LAD-002,35.337,76.998,2025-01-02,1,Winter,23,-26.860,3.400,2.425,4.598,0.358,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,15.640
LAD-003,34.616,76.293,2025-01-03,1,Winter,0,-27.650,3.270,2.413,4.348,0.298,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,15.230
LAD-003,34.616,76.293,2025-01-03,1,Winter,1,-29.510,2.460,2.845,5.537,0.443,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,17.280
LAD-003,34.616,76.293,2025-01-03,1,Winter,2,-28.860,3.250,2.664,4.767,0.351,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,16.030
LAD-003,34.616,76.293,2025-01-03,1,Winter,3,-29.000,2.640,2.160,4.943,0.369,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,15.400
LAD-003,34.616,76.293,2025-01-03,1,Winter,4,-28.170,3.480,2.590,6.210,0.357,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,17.770
LAD-003,34.616,76.293,2025-01-03,1,Winter,5,-27.350,2.560,2.980,5.599,0.373,11.100,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,17.820
LAD-003,34.616,76.293,2025-01-03,1,Winter,6,-25.770,2.090,2.388,4.827,0.380,9.800,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,16.060
LAD-003,34.616,76.293,2025-01-03,1,Winter,7,-26.390,2.480,2.424,4.772,0.418,166.500,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,16.770
LAD-003,34.616,76.293,2025-01-03,1,Winter,8,-24.100,2.280,2.297,5.903,0.362,324.300,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,18.760
LAD-003,34.616,76.293,2025-01-03,1,Winter,9,-23.290,2.530,2.224,4.815,0.538,494.100,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,20.170
LAD-003,34.616,76.293,2025-01-03,1,Winter,10,-21.580,2.400,2.331,5.028,0.451,601.100,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,20.930
LAD-003,34.616,76.293,2025-01-03,1,Winter,11,-19.530,2.610,2.410,5.724,0.525,503.100,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,21.830
LAD-003,34.616,76.293,2025-01-03,1,Winter,12,-18.370,2.250,2.349,4.916,0.656,524.600,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,22.150
LAD-003,34.616,76.293,2025-01-03,1,Winter,13,-18.900,2.620,2.100,3.729,0.599,526.800,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,20.090
LAD-003,34.616,76.293,2025-01-03,1,Winter,14,-18.420,2.900,2.607,6.005,0.657,524.900,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,23.650
LAD-003,34.616,76.293,2025-01-03,1,Winter,15,-18.380,3.590,2.493,4.189,0.562,424.500,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,19.980
LAD-003,34.616,76.293,2025-01-03,1,Winter,16,-18.890,4.260,2.562,5.403,0.240,275.700,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,18.480
LAD-003,34.616,76.293,2025-01-03,1,Winter,17,-20.130,5.150,2.584,5.485,0.331,161.300,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,18.220
LAD-003,34.616,76.293,2025-01-03,1,Winter,18,-21.320,4.680,1.990,6.247,0.439,11.100,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,17.470
LAD-003,34.616,76.293,2025-01-03,1,Winter,19,-22.080,5.950,2.265,3.216,0.400,0.000,Rammed earth thermal mass with adjustable cross-ventilation flaps and external fabric solar shading,14.220
LAD-003,34.616,76.293,2025-01-03,1,Winter,20,-23.670,4.680,1.975,3.541,0.519,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,14.070
LAD-003,34.616,76.293,2025-01-03,1,Winter,21,-24.150,5.300,2.628,5.278,0.314,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,17.000
LAD-003,34.616,76.293,2025-01-03,1,Winter,22,-26.180,4.950,2.575,3.934,0.473,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,15.120
LAD-003,34.616,76.293,2025-01-03,1,Winter,23,-27.470,3.280,2.245,5.948,0.440,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,16.930
LAD-004,34.176,78.233,2025-01-04,1,Winter,0,-28.420,3.850,2.318,5.585,0.442,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,16.490
LAD-004,34.176,78.233,2025-01-04,1,Winter,1,-29.710,2.090,2.962,6.326,0.384,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,18.490
LAD-004,34.176,78.233,2025-01-04,1,Winter,2,-28.540,2.010,2.248,5.482,0.430,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,16.280
LAD-004,34.176,78.233,2025-01-04,1,Winter,3,-27.280,2.030,2.761,3.809,0.345,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,15.220
LAD-004,34.176,78.233,2025-01-04,1,Winter,4,-28.490,2.390,1.691,3.654,0.251,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,13.100
LAD-004,34.176,78.233,2025-01-04,1,Winter,5,-27.750,2.860,2.271,3.946,0.343,9.700,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,14.550
LAD-004,34.176,78.233,2025-01-04,1,Winter,6,-26.670,3.300,2.241,3.155,0.430,9.800,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,13.690
LAD-004,34.176,78.233,2025-01-04,1,Winter,7,-25.410,3.260,2.685,4.546,0.424,144.900,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,16.910
LAD-004,34.176,78.233,2025-01-04,1,Winter,8,-23.740,2.210,2.395,4.410,0.632,321.000,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,18.890
LAD-004,34.176,78.233,2025-01-04,1,Winter,9,-22.760,2.290,2.491,5.653,0.283,405.500,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,18.940
LAD-004,34.176,78.233,2025-01-04,1,Winter,10,-20.360,2.040,2.139,4.927,0.543,553.100,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,21.040
LAD-004,34.176,78.233,2025-01-04,1,Winter,11,-19.500,2.670,2.380,5.552,0.299,505.800,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,19.420
LAD-004,34.176,78.233,2025-01-04,1,Winter,12,-19.070,2.770,2.015,6.436,0.550,601.300,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,23.060
LAD-004,34.176,78.233,2025-01-04,1,Winter,13,-19.220,2.280,2.321,5.509,0.305,601.700,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,20.460
LAD-004,34.176,78.233,2025-01-04,1,Winter,14,-19.820,3.040,2.427,4.775,0.536,594.000,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,21.620
LAD-004,34.176,78.233,2025-01-04,1,Winter,15,-19.510,3.280,2.273,4.998,0.312,478.200,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,19.190
LAD-004,34.176,78.233,2025-01-04,1,Winter,16,-18.890,4.200,2.499,5.374,0.410,281.900,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,18.860
LAD-004,34.176,78.233,2025-01-04,1,Winter,17,-20.320,4.640,2.396,3.881,0.515,181.700,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,16.630
LAD-004,34.176,78.233,2025-01-04,1,Winter,18,-23.300,4.150,2.193,5.109,0.299,10.100,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,16.290
LAD-004,34.176,78.233,2025-01-04,1,Winter,19,-22.730,5.980,3.015,4.917,0.582,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,17.300
LAD-004,34.176,78.233,2025-01-04,1,Winter,20,-25.000,4.680,2.409,3.221,0.418,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,14.180
LAD-004,34.176,78.233,2025-01-04,1,Winter,21,-25.640,5.040,2.496,4.901,0.387,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,16.200
LAD-004,34.176,78.233,2025-01-04,1,Winter,22,-26.730,5.160,2.377,5.121,0.222,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,16.150
LAD-004,34.176,78.233,2025-01-04,1,Winter,23,-26.430,3.420,1.936,3.225,0.421,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,13.270
LAD-005,32.715,77.645,2025-01-05,1,Winter,0,-29.020,5.100,2.663,3.294,0.321,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,14.110
LAD-005,32.715,77.645,2025-01-05,1,Winter,1,-28.440,1.970,2.211,4.514,0.293,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,15.030
LAD-005,32.715,77.645,2025-01-05,1,Winter,2,-29.330,2.040,2.591,3.486,0.404,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,14.270
LAD-005,32.715,77.645,2025-01-05,1,Winter,3,-28.820,2.860,2.349,3.315,0.253,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,13.710
LAD-005,32.715,77.645,2025-01-05,1,Winter,4,-28.040,3.920,2.364,5.821,0.557,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,16.900
LAD-005,32.715,77.645,2025-01-05,1,Winter,5,-27.340,2.180,2.976,3.323,0.430,9.500,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,15.020
LAD-005,32.715,77.645,2025-01-05,1,Winter,6,-25.590,2.030,2.356,4.857,0.425,8.800,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,16.060
LAD-005,32.715,77.645,2025-01-05,1,Winter,7,-25.080,2.420,2.361,4.066,0.398,153.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,15.890
LAD-005,32.715,77.645,2025-01-05,1,Winter,8,-24.580,2.430,2.695,4.017,0.508,362.800,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,18.580
LAD-005,32.715,77.645,2025-01-05,1,Winter,9,-22.240,2.160,1.944,3.755,0.432,454.100,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,17.680
LAD-005,32.715,77.645,2025-01-05,1,Winter,10,-21.640,2.020,2.246,6.560,0.321,599.200,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,21.400
LAD-005,32.715,77.645,2025-01-05,1,Winter,11,-20.330,2.210,2.590,4.394,0.386,537.900,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,19.820
LAD-005,32.715,77.645,2025-01-05,1,Winter,12,-19.340,2.100,2.314,4.627,0.470,531.000,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,20.360
LAD-005,32.715,77.645,2025-01-05,1,Winter,13,-17.870,2.820,2.513,3.866,0.453,528.600,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,19.870
LAD-005,32.715,77.645,2025-01-05,1,Winter,14,-17.140,2.640,1.994,4.133,0.425,556.500,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,19.520
LAD-005,32.715,77.645,2025-01-05,1,Winter,15,-17.710,4.480,2.028,4.895,0.402,435.000,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,19.200
LAD-005,32.715,77.645,2025-01-05,1,Winter,16,-18.700,3.510,2.463,4.597,0.256,280.800,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,17.590
LAD-005,32.715,77.645,2025-01-05,1,Winter,17,-21.560,4.710,2.434,5.771,0.259,181.300,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,18.150
LAD-005,32.715,77.645,2025-01-05,1,Winter,18,-20.730,5.610,2.093,5.472,0.524,11.500,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,16.800
LAD-005,32.715,77.645,2025-01-05,1,Winter,19,-22.670,5.990,2.210,4.895,0.507,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,16.040
LAD-005,32.715,77.645,2025-01-05,1,Winter,20,-23.340,4.920,2.358,5.784,0.468,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,17.250
LAD-005,32.715,77.645,2025-01-05,1,Winter,21,-24.960,5.040,2.258,3.871,0.328,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,14.690
LAD-005,32.715,77.645,2025-01-05,1,Winter,22,-26.160,3.620,1.885,5.357,0.524,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,15.750
LAD-005,32.715,77.645,2025-01-05,1,Winter,23,-26.650,4.000,2.587,3.554,0.455,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,14.650
LAD-006,32.715,79.396,2025-01-06,1,Winter,0,-27.540,2.890,2.134,5.815,0.229,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,16.590
LAD-006,32.715,79.396,2025-01-06,1,Winter,1,-27.860,2.000,2.362,3.642,0.360,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,14.280
LAD-006,32.715,79.396,2025-01-06,1,Winter,2,-27.540,2.520,1.912,4.192,0.450,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,14.250
LAD-006,32.715,79.396,2025-01-06,1,Winter,3,-28.420,2.630,2.178,5.566,0.436,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,16.280
LAD-006,32.715,79.396,2025-01-06,1,Winter,4,-28.650,2.500,2.187,4.648,0.454,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,15.130
LAD-006,32.715,79.396,2025-01-06,1,Winter,5,-27.510,2.230,2.326,4.283,0.456,11.300,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,15.110
LAD-006,32.715,79.396,2025-01-06,1,Winter,6,-26.400,3.930,2.316,4.120,0.497,10.200,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,14.990
LAD-006,32.715,79.396,2025-01-06,1,Winter,7,-25.500,3.590,2.617,4.528,0.474,161.400,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,16.920
LAD-006,32.715,79.396,2025-01-06,1,Winter,8,-24.540,2.950,2.393,3.677,0.497,299.700,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,16.560
LAD-006,32.715,79.396,2025-01-06,1,Winter,9,-21.330,2.650,2.179,4.431,0.582,510.100,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,20.350
LAD-006,32.715,79.396,2025-01-06,1,Winter,10,-21.270,1.910,2.442,4.994,0.385,514.900,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,20.000
LAD-006,32.715,79.396,2025-01-06,1,Winter,11,-19.680,2.540,2.586,3.843,0.342,673.600,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,19.730
LAD-006,32.715,79.396,2025-01-06,1,Winter,12,-19.300,2.740,2.639,4.790,0.524,536.600,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,21.450
LAD-006,32.715,79.396,2025-01-06,1,Winter,13,-18.800,4.840,2.490,5.637,0.504,597.300,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,22.400
LAD-006,32.715,79.396,2025-01-06,1,Winter,14,-18.990,6.320,2.109,3.393,0.333,494.800,Rammed earth thermal mass with adjustable cross-ventilation flaps and external fabric solar shading,16.090
